username,dates,location,rating,comment,useful,funny,cool,WeekDay,State
Virginia R.,2021-04-02,"Murphy, TX",5,Well I did it again! Drove down into Dallas to pickup teen grandkids for lunch on Good Friday. They went nuts...they gave it a 9. They definitely want to come back. Trip from Wylie was worth. I work in Frisco & a know Legacy Hall just opened a SOB. Sounds like I need to do a staff lunch there soon.,0,0,0,viernes,TX
Haley S.,2021-04-02,"San Antonio, TX",5,"Wow. This is probably my new favorite place. Got 3 sliders- hot chicken, popper, and pb&j. They were all so delicious i can't even pick a favorite. I also got the brownie shake which was 10/10 as well. The only negative thing i can think of- the girl working the window wasn't very pleasant. Will definitely be back soon!",0,0,0,viernes,TX
Duke T.,2021-04-04,"Flower Mound, TX",5,"We've passed this place almost daily for a year and finally stopped in. Wow is all I have to say. The service was amazing, the food was great and the atmosphere was so relaxed. Will definitely be back. Regret not stopping in sooner!",0,0,0,domingo,TX
Heidi Y.,2021-04-04,"Allen, TX",4,"The mood and ambience is so nice, especially if there is a breeze. The waffle fries seasoning was abnormally salty though. The sliders were nice--we would recommend trying the PBnJ and the ChikN!",0,0,0,domingo,TX
Idk I.,2021-04-07,"Ennis, TX",5,Yoo this place was hella good an I got my food pretty quick. Even checked a head to see if it was busy and they answered the phone quick. Never had waygu beef before but I had the American an the burnt sliders with regular fries an I smashed it instantly. I would have got more if I had the stomach space for it. Filled me up perfect. I think it was like 15$ too. Hella worth it for 5 bucks more than a whataburger meal with way better fries. Definitely worth the trip.Edit:Me an my roommates went again 2 days later an I finally had the nacho fries.. everything was awesome yet again. Definitely will be back. They were packed an I still got my food pretty quick.,0,0,0,miércoles,TX
Brandon R.,2021-04-07,"Central Oklahoma City, Oklahoma City, OK",5,"Really good sliders and shakes. Has a drive thru, which is hard to find on Greenville.",0,0,0,miércoles,OK
Madeline H.,2021-04-09,"San Diego, CA",3,"Love that they have an outdoor patio and lots of seating, so although it's off of Greenville-- it was family friendly. We were really excited to try SOB and it smelled amazing, but the sliders were just -- dry and I thought fairly tasteless if it weren't for some of the add-ons. I got a fried chicken slider and a beef slider. The chicken was pretty tough and pretty flavorless and definitely needed more gravy/sauce. The beef slider (the popper) was better only because of the Jalapeño jelly and cream cheese --the meat on its own lacked any flavor. My husband commented that McDonald's has more flavorful burgers. So overall, great atmosphere but marginal food.",1,1,0,viernes,CA
Rachel M.,2021-04-09,"Fort Worth, TX",2,"Here are my problems with my visit today1.  I don't like the tip jar at the register. Why are you asking for tips before you even take my order? You order at the register and then you pick up your food when they call your name. What's the tip for? I think this is how employers get out of paying fair wages. 2. Portions are small for the amount they charge. 2 slides are $7.503. I asked for no bun - I got buns. We asked for no jalapeños- we got jalapeños. I asked for extra crisp cheese curd - they were cold and not extra crispy. I think we ended up with food that had already been made and was sitting partially under a warmer.4. When they dispense the fountain drinks they do not fill it to the top - it's about 1/2""-3/4"" from the top.That being said, the patio was cute.Would I go back? No.",2,1,1,viernes,TX
Jason M.,2021-04-10,"Dallas, TX",5,"Updating a previous review...Growing pains are behind them and kinks seem to be ironed out. This place is awesome. Burnt ends, pbj, and Nashville is a tough combo to beat. Great concept that I hope is here for a while!",1,0,0,sábado,TX
Ryan R.,2021-04-12,"Frisco, TX",5,Son of a Butcher is a fantastic newer spot on Greenville Ave! The food is amazing and Whitney provides the best customer service on Greenville! Don't hesitate to try their food! Burnt Ends slider and PB&J slider are awesome!,1,0,0,lunes,TX
Shunkecia L.,2021-04-14,"Farmers Branch, TX",5,"Great service. Very fast food. Loved the strawberry agave lemonade. Ordered the burnt ends, Texas Philly, and the Classic sliders. Can't wait to return again!",1,0,0,miércoles,TX
Courtney P.,2021-04-14,"Chicago, IL",5,Obsessed w this place! Great for fam and a quick outdoor bite. All sliders were to die for.,1,0,0,miércoles,IL
LyDarius L.,2021-04-15,"Vickery Meadow, Dallas, TX",4,Great food and fast! I recommend the Nashville Fried Chicken Sandwich! Only reason it's not a 5 is because of the small building and First time ordering can be a little difficult.,0,0,0,jueves,TX
Simon K.,2021-04-16,"Richardson, TX",5,First time here and it is worth the hype. I didn't catch her name but a girl with blue highlights set me up with a random 3 pack of what she deemed the best burgers on the menu. They are not just the best burgers on the menu. They are the best burgers I've ever had. My only regret is not having a large enough stomach to handle more. Thank you mom for putting me on a planet where this place exists.,0,1,0,viernes,TX
Jessica S.,2021-04-17,"Dallas, TX",3,Another overhyped restaurant Gotta say I'm a little disappointed. I ordered 3 different types of sliders. Burgers were dry and not a lot of flavor. I do like the concept and idea they have going on here though. But you know that feeling you get when you're excited about a restaurant and then you're just dissatisfied with the food? That's exactly what happened to meWhataburger definitely hits harder....,1,0,0,sábado,TX
Jonathan L.,2021-04-18,"Blessing, TX",1,"Probably worst service ever and experience was subpar to McDonalds at 3am when you want a McFlurry and the machine is always broken. I'd go there before here again. Took an hour and a half to get food. Someone took our order so they gave us someone else's order - we told the person at the counter it wasn't ours. He said someone must have taken it. Third time is a charm...still wrong order. Guy tells us he's sorry he's going to ""rush"" the next order for us and refund the entire amount. So an hour and a half total later food arrives. I go to get a refill on a drink and guy at the counter ignores me and helps people behind me and beside me instead. I try to get his attention and he keeps moving to the next person. We just ended up leaving. My slider was undercooked and raw still cold in the middle. Cheese curds were cold, and waffle fries were ok. Won't be back but it was a neat place!",1,0,0,domingo,TX
Ricardo G.,2021-04-21,"Irving, TX",5,"the food here was oh so nice and delicious, with that being said i do think that the person at the register was a bit impatient. Didn't seem friendly nor enthusiastic to be working that day. luckily i was having a great day and saw past her negative energy while ordering! over all 9.5/10 the food was delicious and the shake was wonderful too. I Will Be Back",0,0,0,miércoles,TX
Brooke W.,2021-04-22,"Dallas, TX",5,there aren't enough amazing words to describe this place. I frequent this location and you can't go wrong with their wagyu beef sliders and spicy cheese curds. i'm obsessed. the food is always fresh and the beef is high quality and delicious! i love the unique slider options they offer and the employees are always so friendly and welcoming! excellent service outdoor seating w/ a beautiful muraltop quality beef cheese curds are a must.,0,0,0,jueves,TX
Daniel A.,2021-04-22,"Conroe, TX",5,"We came to Dallas for an edm festival (ubbi dubbi) and we decided to hit up a trending slider restaurant that TikTok recommended us. Sadly it was raining and the patio was all wet. In a sunny day I'm sure this place is popping. The slider were so delicious, I got the fried chicken slider. Just with one I was full instantly. The shakes are amazing and you can amazingly you can add booze. Couldn't take a pic of the sliders because I ate them so quick.",0,0,0,jueves,TX
Hope M.,2021-04-23,"Dallas, TX",2,Waited an hour to get our food between standing in a slow line and then for the food to be ready thereafter. The classic wagyu burger was awesome and the fries (well done) were amazing. But unfortunately the chicken on the Buffalo chicken was gross in terms of both the texture/taste and the color. Will not be coming back despite the great burger and fries - not worth the unnecessary wait nor the potential food poisoning :(,0,1,0,viernes,TX
Robert H.,2021-04-28,"Norwalk, CT",5,"came through for the sliders and the shake and it delivered on my hunger. lemon meringue boozy shake (yum). hot chicken, smash burger special, and tx philly sliders. tx philly was my favorite. looking forward to going back to try some more sliders.",0,0,0,miércoles,CT
Jason O.,2021-05-01,"Dallas, TX",1,I'm sure it would have been great food but I showed up to the restaurant and they would not take my order and then when I tried to use the website to order it wouldn't let me order until tomorrow sob needs to care about there customers more and not deny service when some one shows up to there door to order a togo order as my first time going I would have hoped for better service than this not a great first impression,0,0,0,sábado,TX
Glen C.,2021-05-02,"Manhattan, New York, NY",2,"I've heard the food is pretty good here, but every time I go they're closed because they've run out of meat. Not sure what kind of restaurant runs out of basic ingredients on a regular basis, but don't waste your time hoping for these guys to get it together.",0,0,0,domingo,NY
Caroline A.,2021-05-07,"Arlington, TX",5,"First time trying this place, a friend recommended it to me. I really really enjoyed my food. I got the sticky chicken (no peanuts) and Nashville hot, I feel like the Nashville hot could've been hotter though. It wasnt dipped in the hot oil like I've seen before but it was still good. Colin is friendly and gave us great recommendations on food and drinks. My friend got the Nashville hot and wagyu burnt ends. I forgot to take pictures of food before like always. The restaurant was clean and love their outside seating and music selection was great as well. Highly recommend",0,0,1,viernes,TX
Madison P.,2021-05-07,"Rockwall, TX",5,"Son of a Butcher was a delicious and creative experience! I got the popper slider and the pb and j slider (which I was hesitant about), and they were both amazing!!!! The pb and j was surprisingly super good, but the popper was definitely my favorite, because I love jalapeños! The cheese curds were also delicious, the ranch drizzle was a great touch. The staff was friendly, there was a lot of seating both inside and out, and there are many creative slider options to choose from. I will definitely be back!",1,0,2,viernes,TX
Samantha D.,2021-05-07,"Livingston, TX",5,Decided to try this place out today after hearing good things. Y'all it's delicious! We tried all the burger flavors . The PBJ and burnt ends were my fav! Also got some fries and strawberry shake so yummy!! I highly recommend this place. And even if you come here with a long line they get thru it fast.,0,0,0,viernes,TX
Zoe R.,2021-05-09,"Allen, TX",5,"Yummy burgers! Slider size so you can try multiple flavors and menu items. Packed with flavor. We had the Buffalo slider, Wagyu tx philly slider, Nashville hot chicken slider and the Buffalo cheese fries (they're waffle fries!)Also the shakes were fantastic!! We had the blueberry cobbler and the chocolate shake. Soooo delish. They have outdoor seating and a drive through/ walk up window. Perfect for lower Greenville. We will be back!",1,0,1,domingo,TX
Taylor K.,2021-05-10,"Dallas, TX",4,"Great food but long wait and minimal seating. We ate at Son of a Butcher while visiting Lower Greenville for the first time. We waited over an hour in line to place our order and another 30+ minutes to then receive our food. We liked the food we got but do with there was a ""create your own"" slider option for those who want to experiment.",1,0,0,lunes,TX
Kayla S.,2021-05-13,"Newark, DE",4,"This is a cute place and the food was good. I got the Nashville hot chicken sliders and the spicy poutine and they both were delicious. I do think the spicy poutine was a little overpriced, it's a very small portion for the price and it wasn't spicy AT ALL. My friend got the cheese fries which were delicious and I also tried some of her vanilla milkshake which was also delicious. So it was a pretty good meal and I would go here again",1,0,0,jueves,DE
Ken P.,2021-05-15,"Dallas, TX",3,"Sadly my experience wasn't as good as most.  I ordered the Burt end slider, philly slider, spicy cheese curds and nacho fries. The flavor was spot on for all of the items but everything was cold.  The cheese curds were solidified as if they been waiting awhile for someone to order them.  The meat on my sliders was lukewarm.  I really like that all the sodas are made with cane sugar, beef is locally raised wagyu and that they make there sauces in house.",3,0,0,sábado,TX
Dena F.,2021-05-18,"Dallas, TX",5,"When you say peanut butter and jelly burger, people look at you and make this weird face.  But it's the best thing you will ever eat.  There's something about peanuts and burger grease swirling around with sweet jelly that makes your mouth really really happy.  It almost has a peanut sauce thing going on. I had a shake also.  I don't remember the name and I'm too lazy to look it up, but it was butter cookie something something.  It was insane good.  My friend wanted to try it and tried to take it from me.  On INSTINCT, I slapped them and yelled ""DENA DOESN'T SHARE FOOD,"" and then I growled.So, yeah, I like this place.",2,0,1,martes,TX
Ray F.,2021-05-18,"Dallas, TX",5,"People, this place is damn good! Yes I loved the place that was once here, but  SOB is going to quickly help all get used to the new occupant!I got 6 to try a little of nearly everything.  The best was the Wagyu Burnt Ends and the Wagyu TX philly.  The sauce and Waygu burnt ends is crazy good!  There is just enough spice to the Tx philly to tickle your tongue and keep you smiling!  Try the waffle fries covered in Nacho Cheese.  THOSE are amazing!I had a chocolate shake which was pretty good!  They allow a lot of customization and have a lot of options on the menu!While it is a bit pricy, it is really good and I've added this as a favorite spot to keep exploring!",50,31,48,martes,TX
Claude M.,2021-05-18,"Dallas, TX",5,The sliders here are very delicious   the fries are also quite delicious.  I came here with some friends last week and I'm really impressed with the burger selection.  I've also tried the food truck in the past and thought it was equally delicious.,0,0,0,martes,TX
Jared W.,2021-05-22,"South Los Angeles, Los Angeles, CA",5,"Love SoB each and everytime. Never thought a PB&J slider would be one of my favorite foods but here we are and I'm here for it every day of the week. The Waygu beef for the sliders is what sets it apart from everyone else. My wife and I always get 2 sliders a piece and split an order of nacho fries, but we've heard the cheese curds are to die for. We haven't made room for the shakes yet, but they're definitely on the list. 10/10 and we love the interactions with SoB on Instagram.",0,0,0,sábado,CA
Dipesh P.,2021-05-23,"Dallas, TX",5,"Great new addition to the lower Greenville area. The old (char grill?) space has been put to great use. They have an amazing turf area and patio for some awesome outdoor dining. There is also some great artwork on display on the wall outdoors.We arrived on a Saturday for an impromptu lunch session at around 11:30am. It drizzled a bit and for some reason I happened to have some towels in the car so I started wiping down some tables. One of the managers saw me doing it and came out with a squeegee and started cleaning off some space for us. Super nice guy. I ordered to wagyu sliders, a chicken slider, cheese curds, and waffle fries. All the food was delicious and prompt. They even text you when the food is ready so you don't have to wait inside for outdoor dining. The cheese curds were delicious and dipping them in their ranch made them even better. The waffle fries were crispy as the sliders were tasty as well.Will be back to experience some of the shakes (boozy!?!) and some more of the sliders. Good venue and great food!",0,0,0,domingo,TX
Diane S.,2021-05-23,"Dallas, TX",1,I was supper excited to try this place out! Since my dear friend maya recommended to me a couple weeks ago but never had the chance to go until this week which was my grandsons first birthday! I can honestly say I give the food a 10/10 I loved the mini burgers oh specially the biscoff cookie shake! I am afraid I cannot say the same about the treatment I had from the cashier that took my order I am very disappointed. The service was atrocious Rebecca or Becca  I do not exactly remember the young lady's name but from the start when it was our time to tell her our order she took a glance at us and nodded her head as if we did some thing wrong by showing up at the restaurant?! that took me by surprise I had never seen such thing... I decided to shake it off since I know being in the food industry can be sometimes stressful so I tried to be as polite as I could but as I was asking her a couple questions about the menu since it was my first time there.. she would respond to me in a really mad aggressive way I felt really rushed she would make annoyed gestures as I was ordering I just did not feel welcomed at all. I enjoyed the food but the customer service was extremely poor... I just feel like this behavior is completely unprofessional and should be corrected.,0,1,1,domingo,TX
Anne S.,2021-05-28,"Dallas, TX",5,"Okay, my friends have already argued this rating on the basis that I was drunk...so I guess I should put that out there as a disclaimer...but I'm writing this completely sober and still stand by my 5-star rating for that cookie butter milkshake. I mean, LOOK AT THIS THING. It is every bit as delicious as it looks. I might go so far as to say it's the best dessert you can get on Greenville right now.I had a bite of the burnt ends wagyu slider, which also was phenomenal.I'd say my one complaint is the pricing. $4 for a two-bite slider?! 50 cents for each individual sauce?! $3 for literally seven waffle fries?!The flavors still win a 5-star rating, but just know this is not the cheap burger shack it looks to be from the outside.",1,1,1,viernes,TX
LaFon J.,2021-05-31,"Lancaster, TX",4,"I was hungry after a late night drinking habit and super hungover, and ran across this place didn't know they were small burgers, until I got them but we'll worth it wasn't filling but got somewhat taken care of.",0,0,0,lunes,TX
T S.,2021-06-04,"Columbus, OH",5,"Very tasty sliders. We would definitely go back if we are in the area again. They have something for everyone. Family style large tables to sit at, as well as some smaller ones.",0,0,0,viernes,OH
Jonathan L.,2021-06-06,"Dallas, TX",1,"I think this place is best appreciated by individuals who have a phobia about meat juice because you will find no juicy sliders here, I almost thought it was a vegan patty at first bite! When I saw the lines outside the building I was excited and came with high hopes. I ordered box of assorted sliders and paid $50 for a hamburger experience that left me sadly disappointed. Aesthetically, it is a super hip indoor/outdoor experience and the sliders themselves have quite a bit of novelty in their construction, however, I'm not here for the ambience or the vibe. I am looking for a great burger and there were none to be found here. All sliders rely on their foundation of a great patty or cutlet; regardless of what other accoutrement adorn this quick bite, it all comes down to this foundation. Every piece of meat in the variety pack was waaay overcooked--from the bone dry, rockhard beef pucks to the flavorless fried chicken cutlets; even the overcooked sweetly sauced burnt ends were tough and dry (a triple no no for Texas BBQ). Salt-in-the-wound--which would have been better reserved for the meat--the strange sauces, topping quality, and fast drying Hawaiian rolls did nothing to help the final product slide home. I can only assume this place appeals to the hip professional who does not know how to cook for themselves or has never had a great burger prepared for them.  I want to say that I would wait a few weeks and give this place another shot, but the food scored so low on this first attempt I don't think my stomach can handle it, sadly.",2,2,0,domingo,TX
Drew J.,2021-06-07,"Tuscaloosa, AL",5,"Food was great. Nashville hot chicken wasn't really hot at all, more mild, but had good flavor. Good music with nice places to sit outside and eat. Nacho fries were really good, and I'm not the biggest fan of nacho cheese but they were very good.",0,0,0,lunes,AL
Monica M.,2021-06-09,"Dallas, TX",4,Many great options to choose from. The philly and burnt end wagyu sliders were our favorite and I love the twist on the spicy cheese curds. The Nashville chicken was just okay... not a lot of sauce or flavor going on there but I would try other chicken options before ruling that side of the menu out. They are VERY filling esp if you get sides or a shake so I would start with 2 and go from there. The service and environment was great esp for family's and groups.,0,0,1,miércoles,TX
Alex L.,2021-06-10,"Dallas, TX",4,Great sliders but I gotta say the alcohol in the boozy milkshakes must've been really cheap or they over poured by alottt bc those were hard to drink,0,0,0,jueves,TX
Meredith H.,2021-06-13,"Lawton, OK",5,"This place was really good! I had the burnt ends slider and the regular fried chicken slider, both were delicious! My dad had a chocolate shake and said it's one of the best he's ever had. You order at the counter and they call your name when the food is ready. Quick and easy process!",0,0,0,domingo,OK
Katherine B.,2021-06-14,"Mansfield, TX",5,"I had the crispy cheese fries (delicious), the fried ckn and the wagyu PB&J. The fried chicken was a great piece of meat but not as much flavor all together as I was hoping for. But the PB&J was cooked perfect and was a great balance of flavor. My husband had a different variety of sliders and the Sticky Chick was his favorite!",0,0,0,lunes,TX
Jezzy M.,2021-06-15,"Village Green, Mesquite, TX",3,Meat wasn't cooked all the way .. food looks very good .. but looks could be deceiving ..,0,0,0,martes,TX
Cortland B.,2021-06-15,"Liberty University, Lynchburg, VA",5,Incredible spot! Great concept! And amazing sliders! The chicken tender slider sandwiches were so tender and delicious.,0,0,0,martes,VA
Dimitrios C.,2021-06-21,"Dallas, TX",5,5 star for quality to price ratio. The sliders are bite sized yet delicious and if you order 2 sliders and compare them to any other burger the price is unmatched for it's quality. I'm convinced any burger here is good due to quality and ingredients. Whether you want a small bite or a trio of varietal sliders give this place a visit.,0,0,0,lunes,TX
Janice Z.,2021-06-29,"Siloam Springs, AR",5,love the slider options here! It's so fun because you can get multiple burgers flavors and not feel stuffed!,0,0,0,martes,AR
Heather H.,2021-06-30,"Forney, TX",5,"Great spot to share a meal. Nice patio as well...We tried the burnt ends, classic,and the chicken sandwich with that waffle fries and a vanilla shake",1,1,1,miércoles,TX
Junior P.,2021-07-01,"West Arlington, Arlington, TX",5,"Wow factor!!!! I'm working in the area, and it was my first time trying this spot. It's truly amazing!!!  By far the best sliders I've had. Will definitely try this place again.",0,0,0,jueves,TX
Emily F.,2021-07-02,"Denham Springs, LA",4,This was a really cool place! The sliders are slider size but sooo good. I got the Buffalo and Fried Ckn sliders. My hubs got the Philly and the Burnt Ends. He said the Burnt Ends was his fav and the Buffalo was mine.,0,0,0,viernes,LA
Misha H.,2021-07-04,"Hackensack, NJ",5,Once we came here once we been back 5 more times in less than a month I'm only staying away cause I don't wanna be fat. Get fries and the milkshake and don't think twice burnt ends was my favorite slider .,0,0,1,domingo,NJ
Sarah S.,2021-07-05,"Plano, TX",5,"Son of a Butcher is INCREDIBLE and let me tell you why. They have the coolest location over in Lower Greenville WITH a drive thru! I fell in LOVE with their Buffalo chicken sliders. If you're here, don't forget to order a shake as well. I recommend either the cookie butter shake or the chocolate shake. Their Buffalo fries are also SPECTACULAR!",1,0,1,lunes,TX
Ali H.,2021-07-06,"Gardner, KS",5,Such a fun place to meet up with friends for some yummy sliders! LOVED my PB&J slider and their chocolate shake was delish,0,0,0,martes,KS
Roma B.,2021-07-10,"Houston, TX",3,"Best spot on lower Greenville for mini burgers!! Menu is extensive with a variety of options to choose from. Ordered the Sticky chick, The Popper, Tx Philly, and Spicy Cheese curds. The Sticky chick was okay, could have had more thai flavor. The Tx Philly was really good, the Fresno chili had a lot of kick to it. The Popper was similar to the Tx Philly, but the bacon added the perfect crunch. Sitting on the benches outside was nice since the weather was good, but there was way too many flies swarming our food. Couldn't enjoy the food.",1,0,0,sábado,TX
Rebekah S.,2021-07-10,"Burleson, TX",5,"Sliders definitely lived up to the hype. Plenty of indoor and outdoor seating. Easily found parking which was surprising for going on the weekend. Service was fast, food was delicious. Love that the menu is fairly simple. When you do it right, you don't need an overwhelming number of options. Favorites were the burnt ends and the popper sliders.",0,0,0,sábado,TX
Hanna B.,2021-07-11,"Cypress, TX",5,So delicious!! You absolutely have to try it. There is great outdoor seating if you have pets . The line moved quickly and the staff is friendly. My favorite was the pb&j! Who would've thought!,0,0,0,domingo,TX
Lauren H.,2021-07-12,"Dallas, TX",5,"Always a great experience! This was my second time here and I loved it once again! That may be because of the boozy milkshakes, but who wouldn't love them! This time I had the burnt end sliders and they were de-lish! The perfect amount of brisket and cheese on the wittle burger! And of course I got the cookie butter milkshake again! The front staff was super friendly as well! 11 out of 10, would totally recommend!",10,5,12,lunes,TX
Derek W.,2021-07-14,"Spring, TX",5,Loved this place! I'm in town for work and have visited twice. I've tried nearly everything on the menu in those 2 visits! Hope to see y'all in Houston soon,0,0,0,miércoles,TX
Gary R.,2021-07-16,"College Station, TX",3,This place 5 star for their food but the service is horrible. Not enough people working for the business they get. Be ready to wait if you go!,0,0,1,viernes,TX
Katt T.,2021-07-16,"Dallas, TX",4,"This joint was recommended to us, so we gave it a shot on a Saturday afternoon, they were pretty busy, but did have designated parking so that was nice. We ordered the classic waygu, the burnt ends, and the Nashville hot chicken sliders, they were all good, we also ordered the spicy cheese curds which was best thing we ordered imo. Lastly we got a blueberry cobbler shake which was served to us all melted and messy, couldn't even enjoy it, had to throw it out because of how messy it was. Overall, the sliders were good, the service was pretty standard, so if we were in the mood for burgers and happened to be in the area, we'd return.",0,0,0,viernes,TX
Ariel T.,2021-07-18,"Carrollton, TX",3,"Ordered from Uber Eats:Cheese Fries 10/10 - At first glance they looked disappointing, but at first bite I was proven wrong.Nashville Hot Chicken 4.5/10 - The chicken itself had a strange taste & wasn't very good unfortunately. However the sauce that they have on it is awesome! So the side of the sandwich that had the sauce on it tasted okay. I definitely WILL NOT get this one again. I love spicy chicken sandwiches too :/Classic Wagyu 10/10 - Chefs kiss! Such a Devine little burger! They don't allow for add-one (Uber eats) but I didn't need any. The way it comes prepared with their sauce, cheese & I think onions(?) was perfect. The meat tasted great and all the flavors worked well together. I actually ate this one first so I thought the others would be at the top with this little guy. They did not.Burnt Ends Wagyu 4/10 - I wanted to like this one so bad, people have had so many good things to say about this one in particular, but alas, I can only tell my truth. This one was worse than the chicken sandwich. It had a very off taste. I feel like it should've worked but mine tasted so so OFF. Price 6/10 - Honestly the price would have been justified if at least one more of the sliders had tasted a little better .Overall I would try the other flavors, I feel that it would be worth giving it another shot now that I know what not to get lol because when it's good, ITS VERY GOOD!",1,0,1,domingo,TX
Lyssa O.,2021-07-19,"Dallas, TX",5,"The BEST! Kids love the classic burgers- said they were the best they have ever had. For me, I don't eat beef, the chicken sandwich is amazing- sweet and spicy! And, by far, the most delicious fries around! We will be back! And all so fast!",0,0,0,lunes,TX
Brian N.,2021-07-20,"Dallas, TX",4,"I love burgers/sliders and this is a really good spot. I got 3 sliders, all Wagyu. the Classic, the Burnt Ends, and the TX Philly and they all tasted really good. They also have a whole section for chicken sandwiches which I can't wait to try the next time I visit. I didn't dine-in but they you can order online and they have their own window for picking up orders. Almost looks like a drive-thru so it was very convenient.",0,0,0,martes,TX
Julie M.,2021-07-20,"Coppell, TX",5,"Amazing value for pretty large, high quality sliders! We shared the 3 Sliders for $11.25 combo with Wagu with Burnt Ends, Wagu with Jalapeño popper and Nashville Hot Chicken. All were perfect, had lots of flavor and were not dried out like a lot of to-go burgers from restaurants. The shakes look incredible but I'll try that another day. Great addition to Lower Greenville!",0,0,0,martes,TX
Morgan P.,2021-07-25,"Longview, TX",5,"The chicken sliders are 100% the way to go. I thought sliders wouldn't fill me up but they did. The wagu beef sliders are alright ish, not my favorite. You have to get a shake to go!! P.s Parking on this street is horrible",0,0,0,domingo,TX
Amy G.,2021-07-29,"Spring Branch, TX",5,Delicious! Super cool and different options! Venture outside of your comfort zones and try the PB&J slider!!,0,0,0,jueves,TX
Diana P.,2021-07-30,"Dallas, TX",5,Wow even though they were sliders I'd say perfect lol. I got the classic cheese and TX philly. Perfectly flavored. Their cheese fries were tasty too. Oh bonus very cute place!,0,0,0,viernes,TX
Chelo C.,2021-07-31,"Edgewood, TX",3,Visited today and I'm not sure how they have the 4.5 stars to be totally honest. The food was ok the classic slider was the best.  Everything else  was ehhh.  Service was slow and staff didn't acknowledge your presence maybe they were short handed today.,1,0,0,sábado,TX
Matthew W.,2021-08-01,"Durham, NC",5,"Son of a Butcher was delicious, this restaurant offered various sliders that left us beyond satisfied for our date night. Great customer service, great food, and a lovely day made for a wonderful date night. Check this place out!",1,1,1,domingo,NC
Jay S.,2021-08-02,"Dallas, TX",5,"Exactly what I was hoping for!Slider-sized (but honestly still bigger than anything you can get at a fast food joint) and priced at $4/each you really can't go wrong with their interesting assortment of burger and chicken sandwiches. I considered getting the chicken but then was like NAHHHHH, there are hot chicken places everywhere these days. So I decided to go with the burgers. And I'm glad I did. I rolled the dice and ordered up the Burnt Ends (smoked brisket, Gouda cheese, BBQ sauce, caramelized onion and chipotle mayo) and the PB&J (blackberry jam, bacon, crunchy peanut butter, American cheese, caramelized onion). The PB&J was the big winner -- it was sensationally overwhelming to my tastebuds -- if you're a PB&J fan, don't be afraid to flex your palette muscles on this one!The Burnt Ends was also very good -- I probably should've eaten this first as the brisket quickly cooled while I devoured the PB&J but the caramelized onions and BBQ sauce flow perfectly atop the burger and brisket. I didn't order anything else but will add that there's plenty of water bowls available for your furry friend on the patio so bonus points for thinking of our jealous companions!One final note...I've been back here a few times since I posted this and recently I ordered a burger (that shall remain nameless) that my wife wasn't thrilled with. I let Austin know and he immediately swapped it out for a PB&J and everyone was happy. That's great customer service! Thanks Austin!",3,1,2,lunes,TX
Robert M.,2021-08-07,"Dallas, TX",5,Love the concept of interesting sliders so that you can have a taste of a wide range of flavors.  The shakes were good too.  Dog friendly,0,0,0,sábado,TX
Jimmy K.,2021-08-07,"Dallas, TX",5,"Great place for a slider. Convenient online ordering system. They quoted us 15-20 minutes, but the order was ready in 10 minutes. The wagyu, PB&J, and chicken sliders are fantastic. The waffle fries are tasty as well.",0,0,0,sábado,TX
Kulpreet B.,2021-08-09,"Lewisville, TX",4,"I have tried Son of a Butcher at Klyde Warren Park and was excited to visit their store front location. The restaurant is super cute! I loved the outdoor seating and decor. The service is fast, quick, and easy. My husband went to for the Pb and J slider as well as the classic. I tried the chicken fried chicken and the burnt ends sliders. All of them were delicious. I do remember I tried a slider from their food truck that has mashed potatoes but I couldn't find it on the menu. The atmosphere/location is in the perfect area of lower Greenville. I def recommend visiting if you're looking to try something new in the area.",0,0,0,lunes,TX
C S.,2021-08-10,"Dallas, TX",3,Been twice and the food is decent but not for the cost. Sliders are good sized for a slider. Meat was on the dry side for my taste.  Waffle fries are very good. Good patio for outdoor eating and good for dogs.,0,0,0,martes,TX
Viviana B.,2021-08-13,"Austin, TX",5,Love this place! The sliders are all made with love and lots of flavor. Always get the strawberry lemonade there as well!,0,0,0,viernes,TX
Fatima S.,2021-08-14,"Southwest Arlington, Arlington, TX",5,Went on a little Dallas night date night and this place looked packed so we decided to try it ! It was actually really filling and I got full with only 2 and they were really good with good service ! I think we were greeted by the owner and he was very nice !,0,0,0,sábado,TX
Felix G.,2021-08-15,"Garland, TX",3,"This place is good but don't make the same mistake i did. The sliders are actually kinda big, so i ordered 4 thinking it would fill me up but it did. I tried the Texas Hot, Burnt ends, The popper & the Buffalo. The texas Hot was by far the best and the burnt ends was 2nd. The buffalo and popper were forgettable to be honest. Very bland. But the nacho fries were very good. Great service and god size portions.",0,0,0,domingo,TX
Denzel I.,2021-08-19,"Dallas, TX",5,"I had the P&J, Burnt ends, and the Popper. All were great but I think the stand out was the Burnt Ends slider. The location was very clean and decorated well.",0,0,0,jueves,TX
